diagnostic_label,scope,aggregation_variant,year,excluded_province_id_legacy63,baseline_correlation,leave_one_out_correlation,correlation_change,influence_disposition
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_01,0.5423517271081965,0.5513724504392468,0.009020723331050307,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_02,0.5423517271081965,0.5447242509911553,0.0023725238829588324,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_04,0.5423517271081965,0.5408713172201024,-0.0014804098880940586,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_06,0.5423517271081965,0.5220095695435097,-0.020342157564686714,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_08,0.5423517271081965,0.5627297911630695,0.02037806405487308,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_10,0.5423517271081965,0.5393603628000816,-0.0029913643081148633,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_11,0.5423517271081965,0.53220851187865,-0.01014321522954642,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_12,0.5423517271081965,0.5492067491038836,0.006855021995687105,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_14,0.5423517271081965,0.536187358518038,-0.006164368590158453,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_15,0.5423517271081965,0.5359858979287019,-0.006365829179494575,RETAINED
POST_HOC_MEASUREMENT_DIAGNOSTIC,yearly_rank,unweighted_tile_median,2021,VN_LEGACY63_17,0.5423517271081965,0.5383530598534011,-0.003998667254795363,RETAINED
