diagnostic_label,aggregation_variant,relationship,pearson,spearman,interpretation
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,speed_change_vs_tests_change,0.5912027009340203,0.5448828725038403,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,rank_change_vs_rank_tests_change,0.5448828725038403,0.5448828725038403,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,rank_disagreement_vs_absolute_tests_change,0.15449277014583046,-0.12677376029278867,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,speed_change_vs_devices_change,0.5832783237991073,0.5352822580645162,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,rank_change_vs_rank_devices_change,0.5352822580645162,0.5352822580645162,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,rank_disagreement_vs_absolute_devices_change,0.15137268018979463,-0.1332324992167963,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,speed_change_vs_tests_change,0.5155205704921327,0.48180683563748083,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,rank_change_vs_rank_tests_change,0.48180683563748083,0.48180683563748083,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,rank_disagreement_vs_absolute_tests_change,0.1750235764132133,-0.11534722634489389,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,speed_change_vs_devices_change,0.5109226178073566,0.48982334869431643,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,rank_change_vs_rank_devices_change,0.48982334869431643,0.48982334869431643,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,rank_disagreement_vs_absolute_devices_change,0.17588731880706174,-0.10506852285215713,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,speed_change_vs_tests_change,0.5871405159604841,0.4706221198156682,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,rank_change_vs_rank_tests_change,0.4706221198156682,0.4706221198156682,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,rank_disagreement_vs_absolute_tests_change,0.19972615332850063,-0.06410781687337634,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,speed_change_vs_devices_change,0.5728794508372321,0.4638056835637482,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,rank_change_vs_rank_devices_change,0.4638056835637482,0.4638056835637482,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,rank_disagreement_vs_absolute_devices_change,0.19557692605701552,-0.06980041807194891,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,speed_change_vs_tests_change,0.58437717155954,0.45982142857142855,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,rank_change_vs_rank_tests_change,0.45982142857142855,0.45982142857142855,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,rank_disagreement_vs_absolute_tests_change,0.20678450720546315,-0.08596445075205687,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,speed_change_vs_devices_change,0.5726362604233057,0.45698924731182794,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,rank_change_vs_rank_devices_change,0.45698924731182794,0.45698924731182794,composition diagnostic; not causal
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,rank_disagreement_vs_absolute_devices_change,0.20102838730535627,-0.09658090429561908,composition diagnostic; not causal
