source_file,line_number,block_type,source_sha256,numeric_tokens,numeric_tokens_preserved,status
measurement_divergence_manuscript_revision_03.md,1,heading,568866de3232a44c768a3e881bf808f9f8058d3a07ed720d2bfbbe37d04659ec,,True,PASS
measurement_divergence_manuscript_revision_03.md,3,heading,03740cdd8a26aa6a265c09d3a4422431f5ff48dd00d30b6f0ad308e54dd290bf,,True,PASS
measurement_divergence_manuscript_revision_03.md,5,heading,266c21b810ae65751fa70f388a867e94d180e79fd15c69ed54dae7df1d29166b,,True,PASS
measurement_divergence_manuscript_revision_03.md,7,paragraph,2ba147ef1e3d401390f961b4a9dbcb64f54863e552ecebfb78ba636567f774cc,,True,PASS
measurement_divergence_manuscript_revision_03.md,9,heading,18f8b993fceb1a7535f9d0a0f4b58ea721117844a80f48a2844eba5cc8c9a8ef,,True,PASS
measurement_divergence_manuscript_revision_03.md,11,paragraph,441eccfe3d2cee189685e315f9713bf5e31e6a066691b7a815ba087da02a6628,,True,PASS
measurement_divergence_manuscript_revision_03.md,13,paragraph,49387ad5851a6c8d5dab7a6a329cfd22bb862b45687fc30d3e0ecd88b1d6f576,,True,PASS
measurement_divergence_manuscript_revision_03.md,15,paragraph,8a46bae48c39375286935f319c47387d32dbd278d72b087209381c1420a24680,,True,PASS
measurement_divergence_manuscript_revision_03.md,17,paragraph,b34c1c5eee35824a31f32fc4cc4a833e505cc369c76ae2ea96d6bf0cd025b1d2,,True,PASS
measurement_divergence_manuscript_revision_03.md,19,heading,290ccee3dd057b894848a36b185b50799b73e1070889ed8757a3e91dcce28f92,,True,PASS
measurement_divergence_manuscript_revision_03.md,21,heading,3e41b36d8daf0ca6614b59482487aab53b6172140c9e79de977a5b80703db2da,,True,PASS
measurement_divergence_manuscript_revision_03.md,23,paragraph,4d269e249857dbffe82b53795ec951b13a2bf7617335949c04491c409d6cea40,,True,PASS
measurement_divergence_manuscript_revision_03.md,25,heading,bd43f656a0bee20fa3391f647a9bd0cb1160005252da76d7f13bf44b79876b96,,True,PASS
measurement_divergence_manuscript_revision_03.md,27,paragraph,f5bca6777d65b931b4ff2638b65fc91e5ef96e25ac73c0f8a553798ad01710f1,,True,PASS
measurement_divergence_manuscript_revision_03.md,29,heading,7124cc2835f389940233b18081ccd844eaa1660151b069e9b61ac87f665cd2f2,,True,PASS
measurement_divergence_manuscript_revision_03.md,31,paragraph,51ee5dc70d4ec8657f014f1817d32435f9614a195174d15c0845fb44bb4e4e20,,True,PASS
measurement_divergence_manuscript_revision_03.md,33,heading,03d2265c587a8b30867b03b3b6f4ecec186edec48ba03d8b4cec25f00aba55ef,,True,PASS
measurement_divergence_manuscript_revision_03.md,35,heading,0b9e1b2d25177a1df0bfe25d5767661ee31a1475a80f06de81be1df794dc4dde,,True,PASS
measurement_divergence_manuscript_revision_03.md,37,paragraph,e39ed6a7d8073a084a69f45b9ad1ce8cfe470990b8cd48c5ee42823866583484,,True,PASS
measurement_divergence_manuscript_revision_03.md,39,paragraph,02f63a894963d6606bf2ad2d078317f4a015353a63b45c5da35eb6c9da728574,,True,PASS
measurement_divergence_manuscript_revision_03.md,41,heading,11c4e99af4afb35a82b18eea220891b9a5c2f088aea11c1b0870f021a355c970,,True,PASS
measurement_divergence_manuscript_revision_03.md,43,paragraph,b6cc25ac01f22d7227eb434386f439bcaa1da7afbb022f2ae327bf0099cbdd3a,,True,PASS
measurement_divergence_manuscript_revision_03.md,45,paragraph,8e0d110b2a80320f4d6eb8790bfcaddbc60baaf311d63fd38948918b31dbbd2b,,True,PASS
measurement_divergence_manuscript_revision_03.md,47,heading,c104facc03d9c2413d6910c148add535ddd377f78be36b3e2c39d99e607f62a8,,True,PASS
measurement_divergence_manuscript_revision_03.md,49,paragraph,c0c6b94c0ca93dce84c0127354ace804e61f7bab32782c35f81af7095e90cc2a,,True,PASS
measurement_divergence_manuscript_revision_03.md,51,paragraph,b60077e215686b46c774d5bccccd0a3fefb36cdabaed67d1559dcf1a76313db6,,True,PASS
measurement_divergence_manuscript_revision_03.md,53,heading,fed4daf05beeca4420b31a3f2ec8a01df97eb0788a089719cd4c9acada6ae33e,,True,PASS
measurement_divergence_manuscript_revision_03.md,55,heading,9360c34ffe5f8d472fdb0dc84ae00b273d23d5647c03787ec8a33dc4774603ed,,True,PASS
measurement_divergence_manuscript_revision_03.md,57,paragraph,7e66316bdd2e5578cb25c31e7d72d3da16ffa010adfaaa3ba23521107485547d,,True,PASS
measurement_divergence_manuscript_revision_03.md,59,heading,74fc6ff924ffc7dec3c5a697c978ce6e15c0ce3aa301450e0293b736c5050fac,,True,PASS
measurement_divergence_manuscript_revision_03.md,61,paragraph,5c0d2fb4ad90c786cf0d6f58b6e3cfbf61126203d63e5fd8521dea8fa57718d1,,True,PASS
measurement_divergence_manuscript_revision_03.md,63,paragraph,ae4e018663b41f33fe978d65d2bdb6554ed372340ecc3ff754b08020e804bc2a,,True,PASS
measurement_divergence_manuscript_revision_03.md,65,heading,e20678de772120322709b9282a59f46a1427707860675bf423a1218914febe10,,True,PASS
measurement_divergence_manuscript_revision_03.md,67,paragraph,02ad631204d81c820731388fbc700c1b1076aca7b666e8455ff830b031a1e6dc,,True,PASS
measurement_divergence_manuscript_revision_03.md,69,heading,b3cb24e35d57bfd546d9adb8ab7b5ab3b0eefa8a9875878412699d59eb135882,,True,PASS
measurement_divergence_manuscript_revision_03.md,71,paragraph,2efbd40a79c02a34e8e1b6d68f6667d57b13a836ec332f74b002d85ea3761c59,,True,PASS
measurement_divergence_manuscript_revision_03.md,73,heading,c86442333204328d6eb3f30d21b0f50568f70ae91a936bf72eff8f343b373069,,True,PASS
measurement_divergence_manuscript_revision_03.md,75,paragraph,2e43ba1a29218062d8452ed7af99e4eb9a18845476cadb797aee072d7ec717ce,,True,PASS
measurement_divergence_manuscript_revision_03.md,77,heading,83d61760cf319a4cd62b9c50b6d31c1a933ecb0cc3c91bc7ed8bcbf2419b263f,,True,PASS
measurement_divergence_manuscript_revision_03.md,79,paragraph,db302876bae4c24b90c71297c98c53b97bc14806276e0e6b7b863c790e50ac77,,True,PASS
measurement_divergence_manuscript_revision_03.md,81,paragraph,8ef8bd65efe11ceb6cd052ce4c54955105933ba33826c7a35a2003b1b7c2a9ef,,True,PASS
measurement_divergence_manuscript_revision_03.md,83,heading,b551a9677a6414667553e50f5ba6cb64347951f006b41e90dbffea32a0acb6b9,,True,PASS
measurement_divergence_manuscript_revision_03.md,85,paragraph,2c44a48ddae7c544aae32ced94ee4f16f4f29c8be0bbcdbeece7df1b853bbfd0,,True,PASS
measurement_divergence_manuscript_revision_03.md,87,paragraph,1d2fb2326e541082bd13f4503a3b9e4e614ea028a0a5b6bf6e549e0ef295be4e,,True,PASS
measurement_divergence_manuscript_revision_03.md,89,paragraph,48cba7e14867fca227dfccfd8396a5f1af8768a74cad27cd81902b3539f3b972,,True,PASS
measurement_divergence_manuscript_revision_03.md,91,heading,5595339e99399608bb0fea5e3004db0ea2137390ce35528f243a74ee318ed348,,True,PASS
